species,year,germ,survive,seedlings_per_m2,lx,bx,lxbx,seeds_per_m2,germ fraction,,,,,,,,
scba,2006,0,0,0,.,.,0,1828.426,0,,,,,,,,
stmi,2006,0,0,0,.,.,0,565.256,0,,,,,,,,
vuoc,2006,0,0,0,.,.,0,22.189,0,,,,,,,,
dapu,2007,28,1,4.912,0.036,6,0.214,85.393,0.054,,,,,,,,
drcu,2007,43,1,7.544,0.023,21,0.488,391.449,0.019,,,,,,,,
erci,2007,186,55,32.632,0.296,10,2.957,12.156,0.729,,,,,,,,
erla,2007,18,3,3.158,0.167,9.8,1.633,314.451,0.01,,,,,,,,
erte,2007,24,11,4.211,0.458,13.636,6.25,7.305,0.366,,,,,,,,
eumi,2007,9,1,1.579,0.111,.,.,793.555,0.002,,,,,,,,
evmu,2007,0,0,0,.,.,0,2339.399,0,,,,,,,,
lare,2007,8,1,1.404,0.125,4,0.5,26.874,0.05,,,,,,,,
